Date,Price,Open,High,Low,Vol.,Change %
04-11-2021,26.14,25.325,26.41,24.725,61.63K,3.08%
04-04-2021,25.359,25.075,25.695,24.705,45.17K,1.51%
03/28/2021,24.983,25.135,25.165,23.785,14.64K,-0.67%
03/21/2021,25.152,26.355,26.355,24.475,16.58K,-4.54%
03/14/2021,26.348,26.085,26.755,25.845,9.98K,1.60%
03-07-2021,25.934,25.43,26.56,25.015,14.95K,2.43%
02/28/2021,25.318,26.695,27.185,24.88,16.52K,-4.35%
02/21/2021,26.47,27.59,28.47,26.25,183.41K,-3.02%
02/14/2021,27.293,27.505,28.105,26.155,85.83K,-0.27%
02-07-2021,27.368,27.185,27.895,26.8,76.19K,1.15%
01/31/2021,27.058,28.41,30.04,25.98,87.83K,0.39%
01/24/2021,26.953,25.62,27.795,24.775,31.16K,5.27%
01/17/2021,25.603,24.85,26.165,24.095,10.63K,2.74%
01-10-2021,24.919,25.52,26.025,24.425,15.18K,0.89%
01-03-2021,24.699,26.825,28.15,24.605,14.50K,-6.70%
12/27/2020,26.473,26.13,26.98,26,148.65K,2.18%
12/20/2020,25.908,26.11,27.635,25.12,342.40K,-0.48%
12/13/2020,26.033,24.14,26.35,23.755,384.35K,8.06%
12-06-2020,24.092,24.31,25.015,23.63,335.33K,-0.66%
11/29/2020,24.253,22.78,24.585,21.96,403.44K,7.13%
11/22/2020,22.639,24.305,24.575,22.4,196.65K,-7.56%
11/15/2020,24.491,24.9,25.285,23.79,74.71K,-1.67%
11-08-2020,24.907,26.1,26.27,23.745,80.35K,-3.50%
11-01-2020,25.811,23.785,26.105,23.445,42.92K,8.45%
10/25/2020,23.799,24.66,24.77,22.805,8.27K,-3.74%
10/18/2020,24.723,24.795,25.455,24.535,0.13K,1.07%
10-11-2020,24.461,25.445,25.575,23.82,0.14K,-2.73%
10-04-2020,25.147,23.905,25.305,23.685,0.11K,4.48%
09/27/2020,24.069,22.995,24.54,22.61,78.67K,4.23%
09/20/2020,23.093,27.005,27.13,21.81,694.16K,-14.88%
09/13/2020,27.129,26.91,27.865,26.405,325.29K,1.01%
09-06-2020,26.857,27.04,27.755,25.985,347.49K,0.54%
08/30/2020,26.712,27.83,29.235,26.455,574.30K,-3.88%
08/23/2020,27.79,27.04,28.195,26.29,350.39K,3.40%
08/16/2020,26.877,26.755,28.775,26.1,159.64K,2.36%
08-09-2020,26.258,28.8,29.74,23.8,181.83K,-5.54%
08-02-2020,27.797,24.925,30.19,24.405,108.82K,13.60%
07/26/2020,24.469,23.195,26.515,22.705,58.25K,6.02%
07/19/2020,23.08,19.915,23.875,19.85,40.75K,15.63%
07-12-2020,19.961,19.29,20.045,19.29,15.38K,3.80%
07-05-2020,19.231,18.445,19.625,18.435,16.36K,0.93%
07-02-2020,19.053,18.27,19.445,18.23,383.87K,2.93%
06/28/2020,18.511,18.325,19.005,18.11,9.68K,1.89%
06/21/2020,18.168,18.08,18.425,17.595,147.81K,0.81%
06/14/2020,18.022,17.7,18.205,17.175,59.48K,2.15%
06-07-2020,17.642,17.695,18.585,17.625,79.62K,-0.15%
05/31/2020,17.668,18.715,19.035,17.55,44.59K,-4.93%
05/24/2020,18.584,17.7,18.63,17.31,19.07K,4.62%
05/17/2020,17.763,17.275,18.2,17.2,18.01K,3.75%
05-10-2020,17.121,15.845,17.195,15.585,13.76K,8.12%
05-03-2020,15.835,15.285,16.045,14.85,11.29K,5.32%
04/26/2020,15.035,15.49,16,14.93,59.85K,-2.65%
04/19/2020,15.445,15.425,15.885,14.715,80.47K,0.00%
04-12-2020,15.445,16.025,16.505,15.335,62.21K,-4.91%
04-05-2020,16.242,14.59,16.3,14.4,59.30K,11.84%
03/29/2020,14.523,14.73,14.765,13.935,29.09K,-0.41%
03/22/2020,14.583,12.665,14.975,12.345,35.17K,17.37%
03/15/2020,12.425,15.11,15.15,11.68,44.75K,-14.51%
03-08-2020,14.534,17.505,17.625,14.46,31.82K,-16.06%
03-01-2020,17.315,16.555,17.61,16.545,22.48K,4.78%
02/23/2020,16.525,18.71,19.005,16.47,323.16K,-11.22%
02/16/2020,18.613,17.785,18.705,17.76,134.99K,4.48%
02-09-2020,17.815,17.755,17.91,17.515,76.77K,0.24%
02-02-2020,17.773,18.165,18.2,17.545,33.46K,-1.76%
01/26/2020,18.091,18.32,18.43,17.37,19.33K,-0.57%
01/19/2020,18.194,18.145,18.235,17.68,11.94K,0.20%
01-12-2020,18.158,18.175,18.25,17.785,10.34K,-0.19%
01-05-2020,18.193,18.245,18.965,17.91,16.74K,-0.26%
12/29/2019,18.24,17.945,18.395,17.92,10.55K,1.66%
12/22/2019,17.943,17.23,18.135,17.23,289.02K,4.17%
12/15/2019,17.224,17.005,17.315,16.935,254.62K,1.25%
12-08-2019,17.012,16.6,17.185,16.565,357.71K,2.51%
12-01-2019,16.596,17.07,17.415,16.575,454.51K,-2.98%
11/24/2019,17.106,17.1,17.225,16.82,220.66K,-0.24%
11/17/2019,17.147,17.095,17.355,16.85,118.05K,0.32%
11-10-2019,17.092,16.925,17.225,16.76,71.22K,0.72%
11-03-2019,16.969,18.25,18.38,16.805,53.35K,-6.79%
10/27/2019,18.206,18.08,18.335,17.68,13.44K,1.27%
10/20/2019,17.977,17.64,18.365,17.515,0.50K,1.98%
10/13/2019,17.628,17.6,17.73,17.26,0.30K,0.19%
10-06-2019,17.594,17.58,18,17.465,0.22K,-0.45%
09/29/2019,17.673,17.675,17.8,17.02,0.45K,-0.17%
09/22/2019,17.703,18.03,18.81,17.41,504.63K,-0.82%
09/15/2019,17.849,17.755,18.17,17.58,422.47K,1.59%
09-08-2019,17.569,18.215,18.555,17.47,542.81K,-3.04%
09-01-2019,18.119,18.52,19.75,18.045,772.31K,-1.22%
08/25/2019,18.342,17.65,18.76,17.64,509.84K,4.49%
08/18/2019,17.554,17.26,17.605,16.96,159.26K,1.69%
08-11-2019,17.263,17.09,17.625,16.65,86.73K,1.14%
08-04-2019,17.069,16.39,17.39,16.26,72.57K,4.08%
07/28/2019,16.4,16.575,16.765,16.065,29.32K,-0.76%
07/21/2019,16.525,16.385,16.805,16.32,22.52K,1.29%
07/14/2019,16.315,15.36,16.735,15.305,23.99K,6.26%
07-07-2019,15.354,15.15,15.455,15.09,16.22K,1.56%
06/30/2019,15.118,15.4,15.62,15.035,12.66K,-2.13%
06/23/2019,15.447,15.445,15.59,15.24,212.90K,0.50%
06/16/2019,15.37,14.91,15.625,14.83,152.41K,3.31%
06-09-2019,14.878,15.05,15.19,14.7,69.00K,-1.52%
06-02-2019,15.107,14.66,15.225,14.64,47.23K,3.15%
05/26/2019,14.646,14.63,14.75,14.35,18.88K,0.07%
05/19/2019,14.636,14.465,14.71,14.43,8.26K,1.18%
05-12-2019,14.466,14.86,14.935,14.465,9.04K,-2.72%
05-05-2019,14.87,15.045,15.07,14.79,11.99K,-0.72%
04/28/2019,14.978,15.075,15.1,14.57,362.19K,-0.73%
04/21/2019,15.088,14.985,15.12,14.7,337.57K,0.89%
04/14/2019,14.955,14.925,15.055,14.795,284.87K,-0.05%
04-07-2019,14.963,15.11,15.31,14.845,356.58K,-0.82%
03/31/2019,15.086,15.09,15.19,14.86,336.93K,-0.16%
03/24/2019,15.11,15.41,15.59,14.95,321.02K,-1.93%
03/17/2019,15.407,15.245,15.65,15.22,276.03K,0.54%
03-10-2019,15.324,15.35,15.55,15.135,276.83K,-0.16%
03-03-2019,15.349,15.27,15.385,14.985,349.74K,0.61%
02/24/2019,15.256,15.92,16.01,15.165,365.13K,-4.13%
02/17/2019,15.914,15.785,16.195,15.715,398.32K,1.09%
02-10-2019,15.743,15.69,15.82,15.445,290.11K,-0.42%
02-03-2019,15.809,15.865,15.93,15.635,268.20K,-0.77%
01/27/2019,15.931,15.785,16.2,15.61,348.29K,1.48%
01/20/2019,15.699,15.365,15.765,15.195,267.75K,1.95%
01/13/2019,15.399,15.68,15.735,15.35,268.77K,-1.64%
01-06-2019,15.656,15.825,15.88,15.56,326.01K,-0.82%
12/30/2018,15.786,15.43,15.91,15.385,333.38K,2.27%
12/23/2018,15.436,14.74,15.46,14.725,246.40K,4.99%
12/16/2018,14.702,14.635,14.915,14.615,287.35K,0.44%
12-09-2018,14.637,14.7,14.9,14.56,311.46K,-0.40%
12-02-2018,14.696,14.345,14.745,14.345,335.85K,3.37%
11/25/2018,14.217,14.29,14.47,14.05,407.85K,-0.18%
11/18/2018,14.243,14.4,14.54,14.165,344.88K,-0.97%
11-11-2018,14.382,14.15,14.4,13.86,414.36K,1.71%
11-04-2018,14.14,14.74,14.775,14.08,429.18K,-4.17%
10/28/2018,14.756,14.72,14.92,14.24,477.93K,0.38%
10/21/2018,14.7,14.65,14.84,14.54,363.35K,0.34%
10/14/2018,14.65,14.625,14.88,14.47,324.32K,0.10%
10-07-2018,14.635,14.665,14.735,14.255,383.63K,-0.10%
09/30/2018,14.649,14.725,14.95,14.395,396.57K,-0.43%
09/23/2018,14.712,14.325,14.755,14.195,456.92K,2.46%
09/16/2018,14.359,14.095,14.465,14.065,395.87K,1.53%
09-09-2018,14.142,14.16,14.39,13.965,368.63K,-0.20%
09-02-2018,14.17,14.54,14.55,14.035,362.88K,-2.66%
08/26/2018,14.557,14.82,14.95,14.525,379.21K,-1.60%
08/19/2018,14.794,14.725,14.875,14.45,428.05K,1.11%
08-12-2018,14.631,15.3,15.345,14.315,500.51K,-4.34%
08-05-2018,15.295,15.445,15.525,15.29,320.46K,-1.08%
07/29/2018,15.462,15.46,15.635,15.25,311.89K,-0.20%
07/22/2018,15.493,15.54,15.7,15.34,308.78K,-0.36%
07/15/2018,15.549,15.805,15.9,15.185,384.55K,-1.68%
07-08-2018,15.815,16.065,16.26,15.7,360.53K,-1.58%
07-01-2018,16.069,16.145,16.19,15.8,302.57K,-0.80%
06/24/2018,16.198,16.445,16.485,15.945,432.80K,-1.59%
06/17/2018,16.459,16.55,16.635,16.19,425.40K,-0.13%
06-10-2018,16.48,16.805,17.35,16.46,586.86K,-1.56%
06-03-2018,16.741,16.42,16.935,16.37,446.30K,1.82%
05/27/2018,16.441,16.48,16.615,16.31,316.45K,-0.63%
05/20/2018,16.546,16.43,16.74,16.28,390.60K,0.55%
05/13/2018,16.455,16.7,16.76,16.19,321.40K,-1.77%
05-06-2018,16.752,16.55,16.865,16.335,337.04K,1.41%
04/29/2018,16.519,16.555,16.62,16.07,372.08K,0.13%
04/22/2018,16.497,17.135,17.135,16.385,478.62K,-3.88%
04/15/2018,17.163,16.655,17.36,16.545,579.50K,3.03%
04-08-2018,16.658,16.42,16.89,16.295,481.10K,1.81%
04-01-2018,16.362,16.3,16.68,16.15,428.81K,0.58%
03/25/2018,16.268,16.56,16.81,16.195,351.61K,-1.89%
03/18/2018,16.582,16.305,16.675,16.1,426.39K,1.91%
03-11-2018,16.272,16.605,16.69,16.205,326.25K,-2.02%
03-04-2018,16.608,16.53,16.895,16.33,407.86K,0.86%
02/25/2018,16.466,16.47,16.72,16.16,403.44K,-0.11%
02/18/2018,16.484,16.6,16.745,16.34,339.26K,-1.36%
02-11-2018,16.712,16.295,16.95,16.28,417.74K,3.55%
02-04-2018,16.139,16.61,16.955,16.13,503.83K,-3.41%
01/28/2018,16.709,17.42,17.47,16.52,494.17K,-4.20%
01/21/2018,17.441,17.045,17.705,16.735,481.34K,2.38%
01/14/2018,17.036,17.235,17.45,16.8,430.83K,-0.61%
01-07-2018,17.141,17.27,17.3,16.88,520.37K,-0.83%
01-01-2018,17.285,17.035,17.325,16.985,352.57K,0.00%
12/31/2017,17.285,17.035,17.325,16.985,352.57K,0.82%
12/25/2017,17.145,16.445,17.175,16.365,238.39K,0.00%
12/24/2017,17.145,16.36,17.175,16.36,138.33K,4.26%
12/17/2017,16.444,16.085,16.485,16.05,258.71K,2.37%
12-10-2017,16.063,15.845,16.18,15.635,338.53K,1.52%
12-03-2017,15.823,16.37,16.455,15.66,380.62K,-3.45%
11/26/2017,16.388,17.02,17.17,16.265,483.56K,-3.55%
11/19/2017,16.992,17.335,17.335,16.82,396.79K,-2.19%
11-12-2017,17.373,16.86,17.385,16.82,426.64K,2.98%
11-05-2017,16.871,16.835,17.27,16.785,479.54K,0.22%
10/29/2017,16.834,16.85,17.255,16.645,465.19K,0.49%
10/22/2017,16.752,17.035,17.17,16.6,465.37K,-1.91%
10/15/2017,17.078,17.425,17.495,16.92,442.69K,-1.91%
10-08-2017,17.411,16.85,17.45,16.765,348.80K,3.70%
10-01-2017,16.79,16.67,16.92,16.345,341.36K,0.68%
09/24/2017,16.676,17.03,17.295,16.64,402.42K,-1.81%
09/17/2017,16.984,17.655,17.675,16.865,377.84K,-4.05%
09-10-2017,17.701,17.92,18.125,17.63,384.65K,-2.33%
09-03-2017,18.123,17.88,18.29,17.835,349.64K,1.72%
08/27/2017,17.816,17.055,17.825,17.02,469.83K,4.50%
